"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",88,7,9.96774193548387,14,100
"2","LF153",24,1,3.12916666666667,22,29
"3","LF154",11,0,2.675,7,12
"4","LF155",19,4,3.96842105263158,16,28
"5","LF156",62,1,3.35116279069767,166,80
"6","LF157",70,0,1.98076923076923,76,82
"7","LF160",47,0,2.36944444444444,28,61
"8","LF161",14,3,3.26428571428571,50,19
"9","LF162",14,1,1.83636363636364,126,16
"10","LF163",9,1,3.9,13,10
"11","LF164",45,2,3.5225,25,49
"12","LF165",9,4,1.35,24,10
"13","LF166",81,4,2.80416666666667,16,98
"14","LF167",60,2,3.44583333333333,30,77
