"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",45,1,6.38620689655172,10,55
"2","LF271",27,8,16.1318181818182,10,28
"3","LF280",46,3,5.50769230769231,14,54
"4","LF281",9,4,18.9625,49,12
"5","LF282",169,0,1.6943661971831,10,202
"6","LF283",8,4,62.3142857142857,11,8
"7","LF284",154,19,2.744,11,209
"8","LF285",4,0,3.05,10,4
"9","LF286",27,12,4.06923076923077,14,38
"10","LF287",62,2,9.11282051282051,16,80
"11","LF288",18,10,6.8,30,34
"12","LF289",115,4,3.82941176470588,6,143
"13","LF290",89,4,6.78214285714286,11,98
"14","LF291",4,0,12.7333333333333,11,6
