Subject,Group,inactive.1.1,inactive.2.1,inactive.3.1,inactive.1.2,inactive.2.2,inactive.3.2,inactive.1.4,inactive.2.4,inactive.3.4,inactive.1.8,inactive.2.8,inactive.3.8,inactive.1.16,inactive.2.16,inactive.3.16
LF152,Subjugated,7,2,2,1,5,13,7,3,3,8,4,1,2,16,1
LF154,Subjugated,2,0,0,0,2,3,4,0,0,0,1,1,1,0,4
LF156,Subjugated,7,13,5,1,0,2,0,9,1,1,0,5,4,1,4
LF160,Subjugated,0,0,4,0,1,0,1,1,9,1,4,5,0,7,0
LF162,Subjugated,4,3,4,5,4,1,1,2,0,2,0,2,6,0,0
LF164,Subjugated,11,8,10,2,21,30,2,15,0,5,5,0,16,11,1
LF166,Subjugated,5,4,4,2,1,4,4,3,0,3,7,0,0,3,1
LF271,Subjugated,34,2,5,0,3,3,11,8,10,6,7,5,4,4,6
LF281,Subjugated,3,1,3,2,2,3,5,4,2,3,4,5,3,5,2
LF283,Subjugated,4,0,1,10,4,11,5,0,9,3,3,4,1,6,2
LF285,Subjugated,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0
LF287,Subjugated,3,3,1,4,2,13,5,2,0,2,4,4,5,8,3
LF289,Subjugated,1,7,0,4,4,1,0,0,0,1,2,0,1,0,1
LF291,Subjugated,2,3,8,1,0,2,2,0,0,0,2,2,2,1,4
LF153,Control,0,3,4,1,2,1,0,1,3,1,2,4,4,1,0
LF155,Control,5,1,2,1,1,0,4,0,1,2,4,0,3,0,0
LF157,Control,0,5,2,10,2,1,6,14,0,6,0,8,4,13,15
LF161,Control,10,38,15,1,10,0,0,1,2,3,0,0,2,1,5
LF163,Control,0,3,3,5,4,2,1,0,0,4,0,1,0,0,2
LF165,Control,5,5,2,10,11,3,8,9,7,4,0,8,0,5,0
LF167,Control,2,1,0,3,0,4,0,1,10,4,1,3,0,3,4
LF270,Control,3,3,9,1,1,9,1,4,0,5,8,3,5,7,11
LF280,Control,4,6,0,3,3,9,0,7,5,4,3,5,4,6,1
LF282,Control,2,8,17,1,0,1,0,0,0,2,3,2,3,3,4
LF284,Control,2,14,18,16,7,14,0,4,6,13,19,9,6,8,6
LF286,Control,7,21,7,16,2,14,1,2,3,12,16,8,1,12,10
LF288,Control,10,12,7,7,10,8,8,1,15,0,5,12,3,7,5
LF290,Control,3,5,1,9,0,3,3,6,3,6,4,2,2,7,8
