"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",45,3,3.09210526315789,17,53
"2","LF271",58,3,13.7138888888889,10,72
"3","LF280",115,6,3.68518518518519,13,158
"4","LF281",8,2,28.26,13,11
"5","LF282",131,2,1.64285714285714,7,180
"6","LF283",31,3,14.1238095238095,10,36
"7","LF284",119,4,2.53023255813953,4,147
"8","LF285",13,11,2.85,47,19
"9","LF286",63,6,5.22105263157895,13,78
"10","LF287",52,3,6.55882352941176,13,76
"11","LF288",8,4,3.77142857142857,25,10
"12","LF289",140,3,2.96545454545455,9,161
"13","LF290",81,7,7.5468085106383,17,97
"14","LF291",83,2,18.4032258064516,8,90
