Subject,Group,Effort,Criteria met_total session,NP in response state_total session,Total lever presses in active LP_total session,Total inactive_total session,criteria met/Total LP
Control 1,Control,1LP,26,36,29,0,0.896551724
Control 2,Control,1LP,10,23,10,1,1
Control 3,Control,1LP,75,27,85,8,0.882352941
Control 4,Control,1LP,17,18,24,0,0.708333333
Control 5,Control,1LP,13,26,15,2,0.866666667
Control 6,Control,1LP,17,36,19,4,0.894736842
Control 7,Control,1LP,49,19,65,4,0.753846154
Control 8,Control,1LP,93,8,99,0,0.939393939
Control 9,Control,1LP,88,9,107,3,0.822429907
Control 10,Control,1LP,183,14,231,1,0.792207792
Control 11,Control,1LP,150,6,181,19,0.828729282
Control 12,Control,1LP,109,19,128,9,0.8515625
Control 13,Control,1LP,23,25,29,2,0.793103448
Control 14,Control,1LP,65,10,76,3,0.855263158
Subjugated 1,Subjugated,1LP,79,6,88,3,0.897727273
Subjugated 2,Subjugated,1LP,27,38,34,13,0.794117647
Subjugated 3,Subjugated,1LP,8,21,12,0,0.666666667
Subjugated 4,Subjugated,1LP,41,52,56,4,0.732142857
Subjugated 5,Subjugated,1LP,3,24,6,1,0.5
Subjugated 6,Subjugated,1LP,25,39,37,11,0.675675676
Subjugated 7,Subjugated,1LP,98,11,125,0,0.784
Subjugated 8,Subjugated,1LP,39,68,49,6,0.795918367
Subjugated 9,Subjugated,1LP,6,48,9,4,0.666666667
Subjugated 10,Subjugated,1LP,12,6,13,2,0.923076923
Subjugated 11,Subjugated,1LP,2,6,3,4,0.666666667
Subjugated 12,Subjugated,1LP,80,21,94,4,0.85106383
Subjugated 13,Subjugated,1LP,113,14,149,9,0.758389262
Subjugated 14,Subjugated,1LP,29,28,32,7,0.90625
Control 1,Control,2LP,11,14,26,2,0.423076923
Control 2,Control,2LP,3,17,6,0,0.5
Control 3,Control,2LP,14,27,38,10,0.368421053
Control 4,Control,2LP,10,69,21,0,0.476190476
Control 5,Control,2LP,4,12,10,2,0.4
Control 6,Control,2LP,6,73,16,9,0.375
Control 7,Control,2LP,14,35,38,6,0.368421053
Control 8,Control,2LP,11,11,22,4,0.5
Control 9,Control,2LP,24,5,61,5,0.393442623
Control 10,Control,2LP,99,13,263,4,0.376425856
Control 11,Control,2LP,24,21,69,6,0.347826087
Control 12,Control,2LP,13,11,33,3,0.393939394
Control 13,Control,2LP,15,30,32,3,0.46875
Control 14,Control,2LP,36,29,99,6,0.363636364
Subjugated 1,Subjugated,2LP,36,108,88,1,0.409090909
Subjugated 2,Subjugated,2LP,9,24,22,4,0.409090909
Subjugated 3,Subjugated,2LP,33,15,78,4,0.423076923
Subjugated 4,Subjugated,2LP,2,17,5,0,0.4
Subjugated 5,Subjugated,2LP,2,15,4,0,0.5
Subjugated 6,Subjugated,2LP,0,13,0,5,
Subjugated 7,Subjugated,2LP,2,6,5,3,0.4
Subjugated 8,Subjugated,2LP,21,14,48,1,0.4375
Subjugated 9,Subjugated,2LP,4,44,9,3,0.444444444
Subjugated 10,Subjugated,2LP,8,7,21,8,0.380952381
Subjugated 11,Subjugated,2LP,12,17,26,1,0.461538462
Subjugated 12,Subjugated,2LP,30,20,78,14,0.384615385
Subjugated 13,Subjugated,2LP,45,27,124,4,0.362903226
Subjugated 14,Subjugated,2LP,19,23,48,7,0.395833333
Control 1,Control,4LP,1,12,8,0,0.125
Control 2,Control,4LP,3,17,13,1,0.230769231
Control 3,Control,4LP,6,43,28,7,0.214285714
Control 4,Control,4LP,10,29,42,1,0.238095238
Control 5,Control,4LP,,,,,
Control 6,Control,4LP,6,104,27,5,0.222222222
Control 7,Control,4LP,1,115,6,0,0.166666667
