Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,
M,LF,5,43,2,1,LF152_,0,0,1,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,0,0,150,150,1,0,0,0,
M,LF,5,43,2,1,LF152_,150,1,6,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,0,150,153,3,6,0,0,1,
M,LF,5,43,2,1,LF152_,153,6,2,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,1,153,255,102,2,0,2,0,
M,LF,5,43,2,1,LF152_,169,2,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,1,255,262,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,172,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,1,262,265,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,255,2,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,1,265,270,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,256,3,0,0,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,1,270,288,18,8,0,0,2,
M,LF,5,43,2,1,LF152_,257,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,2,288,385,97,2,0,1,0,
M,LF,5,43,2,1,LF152_,262,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,2,385,392,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,265,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,2,392,395,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,266,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,2,395,400,5,4,0,0,0,
