Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF-LD,5,47,0,2,LF152_,0,0,1,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,0,0,150,150,1,0,0,0
M,LF-LD,5,47,0,2,LF152_,150,1,6,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,0,150,153,3,6,0,0,2
M,LF-LD,5,47,0,2,LF152_,153,6,2,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,1,153,587,434,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,205,2,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,1,587,594,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,254,2,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,1,594,597,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,543,2,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,1,597,602,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,544,2,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,1,602,612,10,8,0,0,1
M,LF-LD,5,47,0,2,LF152_,587,2,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,612,829,217,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,594,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,829,836,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,595,5,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,836,839,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,597,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,839,844,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,602,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,844,880,36,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,609,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,880,887,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,612,8,2,3,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,887,890,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,829,2,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,890,895,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,834,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,895,925,30,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,836,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,925,932,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,839,5,4,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,932,935,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,844,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,935,940,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,867,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,940,978,38,8,0,1,1
M,LF-LD,5,47,0,2,LF152_,880,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,978,985,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,887,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,985,988,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,890,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,988,993,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,894,4,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,993,1025,32,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,895,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,1025,1032,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,918,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,1032,1035,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,925,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,1035,1040,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,932,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,2,1040,1061,21,8,0,0,2
M,LF-LD,5,47,0,2,LF152_,933,5,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1061,1140,79,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,935,5,4,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1140,1147,7,3,0,0,2
M,LF-LD,5,47,0,2,LF152_,940,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1147,1150,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,955,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1150,1155,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,978,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1155,1197,42,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,983,3,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1197,1204,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,985,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1204,1207,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,988,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1207,1212,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,993,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1212,1238,26,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1015,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1238,1245,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1025,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1245,1248,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1030,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1248,1253,5,4,0,0,0
