Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF,5,55,1,2,LF152_,0,0,1,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,0,0,150,150,1,0,0,0
M,LF,5,55,1,2,LF152_,150,1,6,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,0,150,153,3,6,3,0,6
M,LF,5,55,1,2,LF152_,153,6,2,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,1,153,1266,1113,2,0,3,0
M,LF,5,55,1,2,LF152_,230,2,0,0,0,0,1,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,1,1266,1273,7,3,0,0,0
M,LF,5,55,1,2,LF152_,238,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,1,1273,1276,3,5,0,0,0
M,LF,5,55,1,2,LF152_,582,2,0,0,0,0,1,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,1,1276,1281,5,4,0,0,0
M,LF,5,55,1,2,LF152_,583,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,1,1281,1282,1,8,0,0,3
M,LF,5,55,1,2,LF152_,591,2,0,0,0,0,1,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,2,1282,1569,287,2,0,1,0
M,LF,5,55,1,2,LF152_,592,2,0,0,0,0,1,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,2,1569,1576,7,3,0,1,0
M,LF,5,55,1,2,LF152_,593,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,2,1576,1579,3,5,0,0,1
M,LF,5,55,1,2,LF152_,594,2,0,0,0,0,1,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,2,1579,1584,5,4,0,0,0
M,LF,5,55,1,2,LF152_,598,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,2,1584,1737,153,8,0,0,2
M,LF,5,55,1,2,LF152_,608,2,0,0,0,0,1,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,3,1737,1913,176,2,0,1,0
M,LF,5,55,1,2,LF152_,613,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,3,1913,1920,7,3,0,0,0
M,LF,5,55,1,2,LF152_,625,2,0,0,1,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,3,1920,1923,3,5,0,0,1
M,LF,5,55,1,2,LF152_,640,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,3,1923,1928,5,4,0,0,0
M,LF,5,55,1,2,LF152_,784,2,0,0,1,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,3,1928,2017,89,8,3,0,2
M,LF,5,55,1,2,LF152_,792,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,4,2017,2214,197,2,0,1,0
M,LF,5,55,1,2,LF152_,814,2,0,0,1,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,4,2214,2221,7,3,0,0,0
M,LF,5,55,1,2,LF152_,832,2,0,0,0,0,0,,060918_RETRAIN,M,LF,5,55,1,2,LF152_,4,2221,2224,3,5,0,0,0
