Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF,5,122,3,3,LF270_,0,0,1,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,0,0,150,150,1,0,0,0
M,LF,5,122,3,3,LF270_,2,1,0,0,0,0,1,,111718 retrain,M,LF,5,122,3,3,LF270_,0,150,153,3,6,0,0,0
M,LF,5,122,3,3,LF270_,19,1,0,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,1,153,333,180,2,0,1,0
M,LF,5,122,3,3,LF270_,150,1,6,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,1,333,340,7,3,0,0,1
M,LF,5,122,3,3,LF270_,153,6,2,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,1,340,343,3,5,0,0,0
M,LF,5,122,3,3,LF270_,333,2,3,2,0,1,0,,111718 retrain,M,LF,5,122,3,3,LF270_,1,343,348,5,4,0,0,0
M,LF,5,122,3,3,LF270_,339,3,0,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,1,348,386,38,8,4,0,57
M,LF,5,122,3,3,LF270_,340,3,5,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,2,386,3978,3592,2,0,1,0
M,LF,5,122,3,3,LF270_,342,5,0,0,0,0,1,,111718 retrain,M,LF,5,122,3,3,LF270_,2,3978,3985,7,3,0,0,0
M,LF,5,122,3,3,LF270_,343,5,4,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,2,3985,3988,3,5,0,0,0
M,LF,5,122,3,3,LF270_,348,4,8,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,2,3988,3993,5,4,0,0,0
M,LF,5,122,3,3,LF270_,366,8,0,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,2,3993,3999,6,8,0,0,1
M,LF,5,122,3,3,LF270_,386,8,2,3,0,0,1,,111718 retrain,M,LF,5,122,3,3,LF270_,3,3999,4220,221,2,0,2,0
M,LF,5,122,3,3,LF270_,392,2,0,0,0,0,0,,111718 retrain,M,LF,5,122,3,3,LF270_,3,4220,4227,7,3,0,0,0
