Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - 
110618 retrain,M,GG,5,97,1,4,LF270_,0,0,150,150,1,0,0,0,,M,GG,5,97,1,4,LF270_,0,0,1,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,0,150,153,3,6,0,0,2,,M,GG,5,97,1,4,LF270_,150,1,6,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,1,153,369,216,2,0,1,0,,M,GG,5,97,1,4,LF270_,153,6,2,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,1,369,376,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,224,2,0,0,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,1,376,379,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,232,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,1,379,384,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,297,2,0,0,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,1,384,567,183,8,0,0,4,,M,GG,5,97,1,4,LF270_,316,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,2,567,1492,925,2,0,1,0,,M,GG,5,97,1,4,LF270_,369,2,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,2,1492,1499,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,372,3,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,2,1499,1502,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,376,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,2,1502,1507,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,379,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,2,1507,1516,9,8,0,0,1,,M,GG,5,97,1,4,LF270_,384,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,3,1516,1518,2,2,0,1,0,,M,GG,5,97,1,4,LF270_,567,8,2,3,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,3,1518,1525,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,579,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,3,1525,1528,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,580,2,0,0,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,3,1528,1533,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,588,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,3,1533,1595,62,8,1,0,1,,M,GG,5,97,1,4,LF270_,668,2,0,0,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,4,1595,1987,392,2,0,1,0,,M,GG,5,97,1,4,LF270_,678,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,4,1987,1994,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,1302,2,0,0,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,4,1994,1997,3,5,0,0,1,,M,GG,5,97,1,4,LF270_,1305,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,4,1997,2002,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,1492,2,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,4,2002,2091,89,8,0,0,1,,M,GG,5,97,1,4,LF270_,1499,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,5,2091,2108,17,2,0,1,0,,M,GG,5,97,1,4,LF270_,1502,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,5,2108,2115,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,1507,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,5,2115,2118,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,1511,8,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,5,2118,2123,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,1516,8,2,3,0,0,1
